marca,modelo,version,anio,precio
Suzuki,JIMNY,1.5 GL,2026,47430000
Suzuki,JIMNY,1.5 GL,2025,40700000
Suzuki,JIMNY,1.5 GL,2024,37400000
Suzuki,JIMNY,1.5 GL BITONE,2025,39800000
Suzuki,JIMNY,1.5 GL BITONE,2024,37600000
Suzuki,JIMNY,1.5 GLX,2023,38200000
Suzuki,JIMNY,1.5 GLX,2022,36600000
Suzuki,JIMNY,1.5 GLX,2021,35000000
Suzuki,JIMNY,1.5 GLX,2020,33500000
Suzuki,JIMNY,1.5 GLX,2019,32000000
Suzuki,JIMNY,1.5 GLX AT,2026,53550000
Suzuki,JIMNY,1.5 GLX AT,2025,43700000
Suzuki,JIMNY,1.5 GLX AT,2024,41700000
Suzuki,JIMNY,1.5 GLX AT,2023,39100000
Suzuki,JIMNY,1.5 GLX AT,2022,37500000
Suzuki,JIMNY,1.5 GLX AT,2021,35900000
Suzuki,JIMNY,1.5 GLX AT,2020,34400000
Suzuki,JIMNY,1.5 GLX AT,2019,32900000
Suzuki,JIMNY,1.5 GLX 5 PTAS,2026,51867000
Suzuki,JIMNY,1.5 GLX 5 PTAS,2025,44500000
Suzuki,JIMNY,1.5 GLX 5 PTAS AT,2026,55080000
Suzuki,JIMNY,1.5 GLX 5 PTAS AT,2025,45500000
Suzuki,SWIFT,1.2 5 PTAS AUT,2022,20600000
Suzuki,SWIFT,1.2 5 PTAS AUT,2021,19800000
Suzuki,SWIFT,1.2 5 PTAS AUT,2020,19000000
Suzuki,SWIFT,1.2 5 PTAS AUT,2019,18400000
Suzuki,SWIFT,1.2 5 PTAS AUT,2018,17800000
Suzuki,SWIFT,1.2 5 PTAS GLX HYBRID,2026,34272000
Suzuki,SWIFT,1.2 5 PTAS GLX HYBRID CVT,2026,37332000
Suzuki,SWIFT,1.4 5 PTAS GLX,2017,16400000
Suzuki,SWIFT,1.4 5 PTAS GLX,2016,16000000
Suzuki,SWIFT,1.4 5 PTAS GLX,2015,15200000
Suzuki,SWIFT,1.5 5 PTAS,2011,10000000
Suzuki,SWIFT,1.5 5 PTAS,2010,9800000
Suzuki,SWIFT,1.5 5 PTAS,2009,9600000
Suzuki,SWIFT,1.5 5 PTAS,2008,9450000
Suzuki,SWIFT,1.5 5 PTAS,2007,9300000
Suzuki,SWIFT,1.5 5 PTAS (EDIC. LIM.),2009,9700000
Suzuki,VITARA,GL 1.6 4X2 5P L/16,2019,20000000
Suzuki,VITARA,GL 1.6 4X2 5P L/16,2018,19300000
Suzuki,VITARA,GL 1.6 4X2 5P L/16,2017,18600000
Suzuki,VITARA,GL 1.6 4X2 5P L/16,2016,18000000
Suzuki,VITARA,GL 1.6 4X2 5P AT L/16,2019,20400000
Suzuki,VITARA,GL 1.6 4X2 5P AT L/16,2018,19700000
Suzuki,VITARA,GL 1.6 4X2 5P AT L/16,2017,19000000
Suzuki,VITARA,GL 1.6 4X2 5P AT L/16,2016,18400000
Suzuki,VITARA,GL 1.6 4X4 5P AT PLUS L/16,2019,23800000
Suzuki,VITARA,GL 1.6 4X4 5P AT PLUS L/16,2018,23000000
Suzuki,VITARA,GL 1.6 4X4 5P AT PLUS L/16,2017,22200000
Suzuki,VITARA,GL 1.6 4X4 5P AT PLUS L/16,2016,21500000
Suzuki,VITARA,GLX 1.6 4X4 5P AT L/19,2022,31900000
